id,rxn_smiles,retro_templates,cano_rxn_smiles
6,[Cl:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-])=O)[CH:8]=[CH:7][CH:6]=2>C(O)(=O)C.[Fe]>[Cl:1][C:2]1[N:3]=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([NH2:12])[CH:8]=[CH:7][CH:6]=2,[NH2;D1;+0:1]-[c:2]>>O=[N+;H0;D3:1](-[O-])-[c:2],O=[N+]([O-])c1cccc2cnc(Cl)cc12>CC(=O)O.[Fe]>Nc1cccc2cnc(Cl)cc12
0,[Br:1][CH2:2][CH2:3][OH:4].[CH2:5]([S:7](Cl)(=[O:9])=[O:8])[CH3:6]>C(N(CC)CC)C>[CH2:5]([S:7]([O:4][CH2:3][CH2:2][Br:1])(=[O:9])=[O:8])[CH3:6],[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CCS(=O)(=O)Cl.OCCBr>CCN(CC)CC>CCS(=O)(=O)OCCBr
2,[CH2:10]([S:14](Cl)(=[O:16])=[O:15])[CH:11]([CH3:13])[CH3:12].[CH2:1]([Cl:4])[CH2:2][OH:3]>C(N(CC)CC)C>[CH2:10]([S:14]([O:3][CH2:2][CH2:1][Cl:4])(=[O:16])=[O:15])[CH:11]([CH3:13])[CH3:12],[C:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[O;H0;D2;+0:6]-[C:5]>>Cl-[S;H0;D4;+0:1](-[C:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CC(C)CS(=O)(=O)Cl.OCCCl>CCN(CC)CC>CC(C)CS(=O)(=O)OCCCl
1,[Br:1][CH2:2][CH2:3][CH2:4][OH:5].[CH3:6][S:7](Cl)(=[O:9])=[O:8]>C(N(CC)CC)C>[CH3:6][S:7]([O:5][CH2:4][CH2:3][CH2:2][Br:1])(=[O:9])=[O:8],[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],CS(=O)(=O)Cl.OCCCBr>CCN(CC)CC>CS(=O)(=O)OCCCBr
22,CC(O[CH2:5][C:6]1[CH2:28][S:27][C@@H:9]2[C@H:10]([NH:13]C(C(OC(C)=O)C3C=CC=CC=3)=O)[C:11](=[O:12])[N:8]2[C:7]=1[C:29]([OH:31])=[O:30])=O>O>[CH3:5][C:6]1[CH2:28][S:27][C@@H:9]2[C@H:10]([NH2:13])[C:11](=[O:12])[N:8]2[C:7]=1[C:29]([OH:31])=[O:30],[CH3;D1;+0:1]-[C:2]=[C:3]-[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8]>>C-C(=O)-O-[CH2;D2;+0:1]-[C:2]=[C:3]-[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-C(=O)-C(-O-C(-C)=O)-c1:c:c:c:c:c:1,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(OC(C)=O)c3ccccc3)[C@H]2SC1>O>CC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1
7,P(Cl)(Cl)([Cl:18])=O.[CH3:1][C:2]1[N+:3]([O-])=[CH:4][C:5]2[C:10]([CH:11]=1)=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2>>[Cl:18][C:4]1[C:5]2[C:10](=[C:9]([N+:12]([O-:14])=[O:13])[CH:8]=[CH:7][CH:6]=2)[CH:11]=[C:2]([CH3:1])[N:3]=1,[Cl;H0;D1;+0:1]-[c;H0;D3;+0:4](:[c:5]):[n;H0;D2;+0:2]:[c:3]>>Cl-P(-Cl)(=O)-[Cl;H0;D1;+0:1].[O-]-[n+;H0;D3:2](:[c:3]):[cH;D2;+0:4]:[c:5],Cc1cc2c([N+](=O)[O-])cccc2c[n+]1[O-].O=P(Cl)(Cl)Cl>>Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1
21,[OH:2][C@@H:3]([CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[CH:4]=[CH:5][CH:6]1[CH:10]=[CH:9][C:8](=[O:11])[CH:7]1[CH2:12][CH:13]=[CH:14][CH2:15][CH2:16][CH2:17][C:18]([OH:20])=[O:19]>C(O)C>[OH:2][C@@H:3]([CH2:21][CH2:22][CH2:23][CH2:24][CH3:25])[CH:4]=[CH:5][CH:6]1[CH2:10][CH2:9][C:8](=[O:11])[CH:7]1[CH2:12][CH:13]=[CH:14][CH2:15][CH2:16][CH2:17][C:18]([OH:20])=[O:19],[C:1]=[C:2]-[C:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[C:6]=[O;D1;H0:7]>>[C:1]=[C:2]-[C:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[C:6]=[O;D1;H0:7],CCCCC[C@H](O)C=CC1C=CC(=O)C1CC=CCCCC(=O)O>CCO>CCCCC[C@H](O)C=CC1CCC(=O)C1CC=CCCCC(=O)O
31,S(Cl)([Cl:18])=O.[CH3:1][O:2][C:3]1[C:4]([C:13]([OH:15])=O)=[CH:5][C:6]2[C:11]([CH:12]=1)=[CH:10][CH:9]=[CH:8][CH:7]=2>C1C=CC=CC=1>[CH3:1][O:2][C:3]1[C:4]([C:13]([Cl:18])=[O:15])=[CH:5][C:6]2[C:11]([CH:12]=1)=[CH:10][CH:9]=[CH:8][CH:7]=2,[Cl;H0;D1;+0:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[c:4]>>Cl-S(=O)-[Cl;H0;D1;+0:1].O=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[c:4],COc1cc2ccccc2cc1C(=O)O.O=S(Cl)Cl>c1ccccc1>COc1cc2ccccc2cc1C(=O)Cl
50,[C:1]([C:6]1[CH:17]=[CH:16][C:9]2[N:10]3[CH2:15][CH2:14][CH2:13][C:11]3=[N:12][C:8]=2[CH:7]=1)([O:3]CC)=[O:2]>C(O)C.[OH-].[Na+]>[C:1]([C:6]1[CH:17]=[CH:16][C:9]2[N:10]3[CH2:15][CH2:14][CH2:13][C:11]3=[N:12][C:8]=2[CH:7]=1)([OH:3])=[O:2],[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],CCOC(=O)c1ccc2c(c1)nc1n2CCC1>CCO.[Na+].[OH-]>O=C(O)c1ccc2c(c1)nc1n2CCC1
42,[CH2:1]([S:3][C:4]1[CH:26]=[CH:25][C:7]2[N:8]([CH3:24])[C:9]3[CH:23]=[CH:22][CH:21]=[CH:20][C:10]=3[CH2:11][C:12](O)([CH2:13][C:14]([O:16][CH2:17][CH3:18])=[O:15])[C:6]=2[CH:5]=1)[CH3:2]>C(O)C>[CH2:1]([S:3][C:4]1[CH:26]=[CH:25][C:7]2[N:8]([CH3:24])[C:9]3[CH:23]=[CH:22][CH:21]=[CH:20][C:10]=3[CH2:11][C:12](=[CH:13][C:14]([O:16][CH2:17][CH3:18])=[O:15])[C:6]=2[CH:5]=1)[CH3:2],[#8:6]-[C:5](=[O;D1;H0:7])-[CH;D2;+0:4]=[C;H0;D3;+0:1](-[C:2])-[c:3]>>O-[C;H0;D4;+0:1](-[C:2])(-[c:3])-[CH2;D2;+0:4]-[C:5](-[#8:6])=[O;D1;H0:7],CCOC(=O)CC1(O)Cc2ccccc2N(C)c2ccc(SCC)cc21>CCO>CCOC(=O)C=C1Cc2ccccc2N(C)c2ccc(SCC)cc21
